10
0.17831:52.1351,81.0477;1.08846	0.155397:-12.0374,21.0754;0.858309	0.163571:43.5693,-71.3499;1.44728	0.180418:-62.0777,-19.7207;-0.822819	0.151293:60.6081,30.8867;1.59647	0.197278:-50.5081,45.7938;0.077721	0.128331:-32.1451,64.4413;-0.319285	0.108606:-67.1603,29.3026;1.43776	0.14577:-83.7553,-66.9989;-1.39471	0.153976:-33.9792,46.1425;1.12279	
0.17831:51.9775,81.021;1.11114	0.155397:-12.194,20.9775;0.876191	0.163571:43.5715,-71.343;1.47744	0.180418:-61.9408,-19.7188;-0.839962	0.151293:60.4578,31.0609;1.62973	0.197278:-50.6957,45.6171;0.0793407	0.128331:-32.2,64.5015;-0.325937	0.108606:-67.277,29.2332;1.4677	0.14577:-83.6798,-67.3041;-1.42377	0.153976:-34.1672,46.0196;1.14618	
0.17831:51.82,80.9943;1.13381	0.155397:-12.3507,20.8797;0.894072	0.163571:43.5738,-71.3362;1.5076	0.180418:-61.8038,-19.7169;-0.857104	0.151293:60.3075,31.235;1.66299	0.197278:-50.8834,45.4405;0.0809605	0.128331:-32.2549,64.5618;-0.332589	0.108606:-67.3937,29.1638;1.49765	0.14577:-83.6043,-67.6092;-1.45283	0.153976:-34.3553,45.8968;1.16957	
0.17831:51.6624,80.9676;1.15648	0.155397:-12.5073,20.7818;0.911954	0.163571:43.5761,-71.3293;1.53776	0.180418:-61.6669,-19.715;-0.874246	0.151293:60.1572,31.4092;1.69625	0.197278:-51.0711,45.2639;0.0825803	0.128331:-32.3098,64.6221;-0.33924	0.108606:-67.5105,29.0943;1.52759	0.14577:-83.5287,-67.9144;-1.4819	0.153976:-34.5434,45.774;1.19296	
0.17831:51.5049,80.9409;1.17916	0.155397:-12.664,20.684;0.929835	0.163571:43.5784,-71.3224;1.56792	0.180418:-61.53,-19.7131;-0.891389	0.151293:60.0069,31.5833;1.72951	0.197278:-51.2584,45.0873;0.0842	0.128331:-32.3648,64.6823;-0.345892	0.108606:-67.6272,29.0249;1.55754	0.14577:-83.4532,-68.2196;-1.51096	0.153976:-34.7314,45.6511;1.21635	
0.17831:51.3473,80.9142;1.20183	0.155397:-12.8207,20.5861;0.947716	0.163571:43.5807,-71.3156;1.59808	0.180418:-61.393,-19.7112;-0.908531	0.151293:59.8566,31.7574;1.76277	0.197278:-51.4457,44.9107;0.0858198	0.128331:-32.4197,64.7426;-0.352544	0.108606:-67.7439,28.9555;1.58748	0.14577:-83.3777,-68.5248;-1.54002	0.153976:-34.9195,45.5283;1.23974	
0.17831:51.1898,80.8875;1.2245	0.155397:-12.9774,20.4883;0.965598	0.163571:43.583,-71.3087;1.62824	0.180418:-61.2561,-19.7093;-0.925673	0.151293:59.7063,31.9316;1.79603	0.197278:-51.633,44.734;0.0874395	0.128331:-32.4746,64.8029;-0.359196	0.108606:-67.8606,28.8861;1.61743	0.14577:-83.3022,-68.8299;-1.56909	0.153976:-35.1076,45.4055;1.26313	
0.17831:51.0322,80.8608;1.24718	0.155397:-13.1341,20.3904;0.983479	0.163571:43.5853,-71.3018;1.6584	0.180418:-61.1191,-19.7074;-0.942815	0.151293:59.556,32.1056;1.82929	0.197278:-51.8204,44.5574;0.0890593	0.128331:-32.5296,64.8632;-0.365848	0.108606:-67.9774,28.8166;1.64737	0.14577:-83.2266,-69.1351;-1.59815	0.153976:-35.2956,45.2826;1.28651	
0.17831:50.8747,80.8341;1.26985	0.155397:-13.2908,20.2926;1.00136	0.163571:43.5876,-71.295;1.68856	0.180418:-60.9822,-19.7055;-0.959958	0.151293:59.4057,32.2796;1.86255	0.197278:-52.0077,44.3808;0.090679	0.128331:-32.5845,64.9234;-0.3725	0.108606:-68.0941,28.7472;1.67732	0.14577:-83.1511,-69.4403;-1.62721	0.153976:-35.4837,45.1598;1.3099	
0.17831:50.7172,80.8074;1.29253	0.155397:-13.4475,20.1947;1.01924	0.163571:43.5899,-71.2881;1.71872	0.180418:-60.8452,-19.7035;-0.9771	0.151293:59.2554,32.4535;1.89581	0.197278:-52.195,44.2042;0.0922988	0.128331:-32.6394,64.9837;-0.379152	0.108606:-68.2108,28.6778;1.70726	0.14577:-83.0756,-69.7455;-1.65628	0.153976:-35.6717,45.037;1.33329	
0.17831:50.5596,80.7807;1.3152	0.155397:-13.6042,20.0969;1.03712	0.163571:43.5921,-71.2812;1.74888	0.180418:-60.7083,-19.7016;-0.994242	0.151293:59.1051,32.6275;1.92907	0.197278:-52.3823,44.0276;0.0939186	0.128331:-32.6944,65.044;-0.385804	0.108606:-68.3276,28.6083;1.73721	0.14577:-83,-70.0506;-1.68534	0.153976:-35.8598,44.9141;1.35668	
0.17831:50.4021,80.754;1.33787	0.155397:-13.7608,19.999;1.055	0.163571:43.5944,-71.2744;1.77904	0.180418:-60.5713,-19.6997;-1.01138	0.151293:58.9548,32.8014;1.96233	0.197278:-52.5696,43.8509;0.0955383	0.128331:-32.7493,65.1042;-0.392455	0.108606:-68.4443,28.5389;1.76715	0.14577:-82.9245,-70.3558;-1.7144	0.153976:-36.0479,44.7913;1.38007	
0.17831:50.2445,80.7273;1.36055	0.155397:-13.9175,19.9012;1.07289	0.163571:43.5967,-71.2675;1.8092	0.180418:-60.4344,-19.6978;-1.02853	0.151293:58.8045,32.9754;1.99558	0.197278:-52.7569,43.6743;0.0971581	0.128331:-32.8042,65.1645;-0.399107	0.108606:-68.561,28.4695;1.7971	0.14577:-82.849,-70.661;-1.74347	0.153976:-36.2359,44.6685;1.40346	
0.17831:50.087,80.7006;1.38322	0.155397:-14.0742,19.8033;1.09077	0.163571:43.599,-71.2606;1.83936	0.180418:-60.2974,-19.6959;-1.04567	0.151293:58.6542,33.1493;2.02886	0.197278:-52.9442,43.4977;0.0987778	0.128331:-32.8592,65.2248;-0.405759	0.108606:-68.6777,28.4001;1.82705	0.14577:-82.7734,-70.9662;-1.77253	0.153976:-36.424,44.5456;1.42685	
0.17831:49.9294,80.6739;1.40589	0.155397:-14.2309,19.7055;1.10865	0.163571:43.6013,-71.2538;1.86952	0.180418:-60.1605,-19.694;-1.06281	0.151293:58.5039,33.3233;2.06215	0.197278:-53.1315,43.3211;0.100398	0.128331:-32.9141,65.2851;-0.412411	0.108606:-68.7945,28.3306;1.85699	0.14577:-82.6979,-71.2713;-1.80159	0.153976:-36.6121,44.4228;1.45024	
0.17831:49.7719,80.6472;1.42857	0.155397:-14.3876,19.6076;1.12653	0.163571:43.6036,-71.2469;1.89968	0.180418:-60.0235,-19.6921;-1.07995	0.151293:58.3536,33.4972;2.09543	0.197278:-53.3188,43.1445;0.102017	0.128331:-32.969,65.3453;-0.419063	0.108606:-68.9112,28.2612;1.88694	0.14577:-82.6224,-71.5765;-1.83065	0.153976:-36.8001,44.3;1.47363	
0.17831:49.6143,80.6205;1.45124	0.155397:-14.5443,19.5098;1.14441	0.163571:43.6059,-71.24;1.92984	0.180418:-59.8866,-19.6902;-1.0971	0.151293:58.2033,33.6712;2.12871	0.197278:-53.5061,42.9678;0.103637	0.128331:-33.024,65.4056;-0.425715	0.108606:-69.0279,28.1918;1.91688	0.14577:-82.5468,-71.8817;-1.85972	0.153976:-36.9882,44.1771;1.49701	
0.17831:49.4568,80.5938;1.47391	0.155397:-14.701,19.412;1.16229	0.163571:43.6082,-71.2332;1.96	0.180418:-59.7496,-19.6883;-1.11424	0.151293:58.053,33.8451;2.162	0.197278:-53.6934,42.7912;0.105257	0.128331:-33.0789,65.4659;-0.432367	0.108606:-69.1447,28.1224;1.94683	0.14577:-82.4713,-72.1869;-1.88878	0.153976:-37.1763,44.0543;1.5204	
